submitter_id.samples,mrna_vae_1,mrna_vae_2,mrna_vae_3,mrna_vae_4,mrna_vae_5,mrna_vae_6,mrna_vae_7,mrna_vae_8,mrna_vae_9,mrna_vae_10,mrna_vae_11,mrna_vae_12,mrna_vae_13,mrna_vae_14,mrna_vae_15,mrna_vae_16,mrna_vae_17,mrna_vae_18,mrna_vae_19,mrna_vae_20,mrna_vae_21,mrna_vae_22,mrna_vae_23,mrna_vae_24,mrna_vae_25,mrna_vae_26,mrna_vae_27,mrna_vae_28,mrna_vae_29,mrna_vae_30,mrna_vae_31,mrna_vae_32,label_mrna
TCGA-EW-A1OZ-01,1.5637959,-0.4028186,-1.2049294,0.21940616,-0.3468225,1.8321006,-0.43717548,1.2662759,-0.67551494,-0.3028175,-0.5599244,0.9073485,-1.4456639,-0.018685505,-1.8648071,0.099924006,0.06524311,1.1024853,1.2159983,-1.4440572,-0.28271714,-0.6003514,0.30978942,0.84451586,-1.7199621,0.08043291,-0.6363662,-1.8106989,0.43140712,0.59456885,0.5124709,-2.229762,1
TCGA-A2-A0EY-01,0.439652,-0.8812959,0.4706782,-0.679077,0.41341862,0.33752114,-0.76130337,1.1144134,-1.267985,-0.33110118,-2.506807,-0.6692081,0.7659507,-1.5377989,-0.7315243,1.2063098,-0.22634476,0.5850696,0.09593999,-0.45994064,0.17874274,-0.025465593,0.04057207,0.11872043,-0.02124168,0.4202363,0.2064469,0.7294333,-1.4612528,0.3992223,0.13289943,-0.7688032,0
TCGA-A8-A09R-01,0.50947917,0.70330536,-0.70430326,-0.77183473,-0.74503803,-1.6741377,1.6503179,1.1546559,1.0682895,1.0337795,0.8114775,0.24609016,-1.2217474,0.18100806,0.69540393,0.16431573,0.5042755,-0.431253,0.7785436,0.7340296,-0.40868062,0.7599167,0.6042797,0.051516104,-1.5611471,1.222342,1.4574237,0.6967069,1.5643418,0.72754705,-1.1436528,-0.5678054,1
TCGA-LL-A440-01,-0.5940318,1.4054859,0.19631828,-0.075386554,0.48969215,-1.1103828,0.7792305,-0.35968643,0.6255676,1.9750135,-2.2124827,-0.71234775,1.7915889,-0.41510728,1.9528083,0.37659952,1.0703193,-0.3016692,0.5817923,-0.31257656,0.8069685,1.0051851,-0.6016167,-0.1862347,0.8474399,0.36803818,0.514268,-1.577757,0.71283245,-0.45742953,-0.37816113,1.3216606,1
TCGA-BH-A8FY-01,0.9421308,1.2671771,0.67606807,-0.07989304,0.284217,0.021372736,-0.0012815222,0.6906816,0.8049805,1.3796583,1.8972697,0.84973466,-1.1397202,-0.25188392,0.2659567,-0.08404348,1.0622723,-0.5021736,0.6277218,1.0835644,1.9584227,-0.3470578,0.035609998,-1.1748008,0.58585787,0.0002818331,0.43323478,1.0545166,1.006673,0.59915817,0.22669102,0.13280979,1
TCGA-E2-A1II-01,-1.2983325,1.8126452,-2.3892236,-2.3938923,-2.5717702,0.29903367,0.81332177,-0.69907516,-0.7438733,-1.4367917,-0.5233143,-0.7320543,-0.9693663,-0.010660946,1.3723105,1.2821908,-1.6849687,-0.22062701,-0.601236,-0.9432064,-1.2186356,1.4642534,-1.9319394,-1.2885947,0.9378699,-0.53666526,0.7010191,-0.17679639,-0.2928406,0.38612536,1.2178606,-1.0880501,1
TCGA-A7-A6VX-01,1.2892983,-0.39340615,-1.0258338,-0.3977939,-0.18126418,-0.053757235,0.44925064,0.30058268,-0.3709218,0.6012825,-0.41823715,-1.2093469,-0.16106322,0.38379353,1.9176421,-0.103897825,0.5024257,-1.1897917,-0.04980883,1.4800662,0.43530965,1.4741693,-0.3389035,1.6443553,0.17871958,-0.13823037,0.7581765,0.29457912,1.5931189,1.3219469,-0.84104645,2.2399538,1
TCGA-C8-A273-01,1.7369195,-0.058562342,-0.26594168,-1.0500689,-0.7808926,1.439557,2.8812966,0.12633531,-1.4440287,-2.7296183,-1.5045525,-1.0959114,-0.25783893,-2.575805,-0.7643613,-0.26708362,-0.97004837,-0.19826281,-0.5081657,1.2332625,-1.1981552,-0.7795939,-1.1592759,-0.42582083,-0.25414014,0.18387543,-1.8906165,-0.9014572,0.3845463,1.8988727,0.4833839,2.0546284,1
TCGA-BH-A1EO-01,0.5096565,-0.3795061,-0.6986759,0.48780346,-0.3040555,-0.19269581,-0.58331,-0.5075303,-0.94327915,-0.46083254,0.9922795,1.6910857,0.46063855,-0.11468564,-0.8643427,0.98388183,-0.2607111,0.15247121,-0.5054832,1.2564906,-0.09927307,1.3722299,-0.61248714,0.45467755,-0.6270157,-0.019566873,-1.0239165,-1.1534845,-1.2543536,-0.77264845,-1.7585741,0.32302696,0
TCGA-OL-A5RX-01,-1.4158258,-1.2827791,-0.40325114,0.080363184,0.5876228,-0.33005333,1.2017422,0.94616425,-0.45300627,-1.3677703,0.3764047,-0.5769971,0.060275376,-1.6540782,-0.29304147,-0.88131386,-0.12075004,0.4215671,0.3637991,0.9470931,1.0402012,-0.52894306,-0.5443913,-0.6589447,1.0817463,0.8761711,0.76991415,-1.0232064,0.06885464,-2.0145948,1.1325042,0.52931565,1
TCGA-BH-A0B9-01,1.5520442,0.5269208,0.54536927,1.7751608,-1.0502831,0.7108659,-0.49128675,-0.3291281,-0.18497673,0.39890045,-0.26303107,-0.43392393,-0.45780152,-0.20401901,-0.35794783,-0.50050795,-0.7158829,-1.1718986,-1.1012357,-0.669507,0.21288192,-0.109251656,-0.23462966,-0.14202401,0.10025743,-1.1613351,0.90734696,-0.030072317,-0.17796533,1.1917784,-2.3461514,0.2895315,1
TCGA-EW-A1P5-01,-1.2481068,1.4028915,1.4702483,-0.5143309,0.9544078,-0.6334455,0.06425664,-0.29371095,-0.8004657,-0.055234283,0.084294036,-0.05239316,0.35619843,0.24328561,-0.671336,-1.2722894,-0.7082809,0.6754975,-0.28207538,1.1452777,-0.23997465,1.5167441,-0.725353,-2.4656937,0.21969636,1.1580933,-0.41916436,0.18477081,-1.0208789,-0.27359986,-1.1286068,0.79356635,1
TCGA-AO-A03P-01,-1.8592399,-1.2510635,0.575348,0.019241072,-1.6707071,-0.6659714,-0.6783474,0.36601374,-0.09876039,0.30622754,-0.16624299,-0.4240203,-1.4117718,-0.7085711,-1.5450172,1.3789265,-1.0184723,1.2945364,0.6296592,1.0028929,0.05934336,0.2875331,-0.6246908,1.3916081,-1.2183752,-0.22752471,0.7761586,0.14197743,-0.3542388,-0.08904027,1.1875356,0.4218743,0
TCGA-AN-A0AS-01,-1.0349907,0.5716914,-1.4485939,-0.2586905,-1.7143403,0.39780128,0.120531715,-1.0835321,-1.9751126,2.9944553,1.1773882,-0.01543575,0.2785557,0.88425285,0.90636885,-0.66330004,-0.1714343,1.3702332,0.071520075,-0.4041169,1.9622116,-1.6531446,0.98462,0.5763816,-0.15314347,1.1183878,0.54471046,0.109995626,0.100934714,0.07086358,0.58436567,-1.4066083,1
TCGA-A2-A1G0-01,-0.67422795,1.3539722,-1.2367681,0.22035764,0.541767,-1.3899032,0.081980385,0.29592624,0.48801023,-1.3319136,0.12876733,-0.9561189,-0.8884983,-0.44647086,-1.0593309,-0.8245393,1.5959989,-0.048200194,0.21481293,0.34390745,0.74177176,-0.46166134,-1.2372931,-0.27043957,-2.4880364,0.08191344,-1.7079012,-0.8699113,-0.70436656,-2.1681235,-0.07889904,-0.39193276,1
TCGA-B6-A0I8-01,0.92621845,-0.4406771,-1.5113323,0.4941638,-0.14066051,-0.91704106,0.6803443,-0.5059679,0.31500572,0.9642366,-1.0209757,1.4310998,0.69445515,-0.7958609,-1.6897262,0.3522318,0.014491551,-1.254228,0.6678937,-1.1679088,1.2900822,-0.94936025,1.0762011,0.7204444,-0.55141294,-1.2957307,0.26544288,-2.139952,-0.09319826,-0.679158,0.11212948,1.2345918,1
TCGA-A7-A4SA-01,0.79391056,0.21983616,1.3112607,-0.34867528,-1.5196877,-1.0373322,0.89402103,0.19642898,-0.11054381,0.51085466,-0.33241725,-1.1927369,-1.7828608,-0.16765228,0.73122585,1.5154798,0.98032874,-1.896209,0.61544204,-1.7500325,0.05488965,0.33461475,0.24429813,1.1079069,0.85318774,0.84436584,1.8377951,0.70181155,0.69585294,-0.49205476,-1.6287318,-0.65397656,1
TCGA-E9-A1RC-11,0.23061705,-1.2390654,0.2154749,-0.53528774,-0.88093054,-1.5795118,1.124775,0.4938635,-0.5882968,0.17894217,1.0109344,1.3866409,0.12715921,1.1905545,-0.0073266476,1.965091,0.87395996,-0.26737243,-0.36915737,-0.5745092,1.6475463,-1.3383269,0.7915847,1.3283489,0.526234,0.7286862,0.54947615,-1.481504,0.23048392,-0.16266514,0.5638852,1.6684768,1
TCGA-A7-A0DB-11,-0.34372813,-0.040487006,-0.523045,-1.7361268,-0.7118647,-0.6782295,0.8149135,0.97435665,-0.30288085,1.4905964,-0.66992265,1.689882,-0.7633444,-0.08098288,0.5915071,0.14867665,0.29913226,-0.45650667,1.0601214,0.77053744,0.42951435,-0.27036294,-0.72445244,-1.6652944,-0.2559111,-1.860188,-0.571952,0.81459653,0.46214423,-0.55863863,0.59533924,0.62049323,1
TCGA-AR-A24S-01,3.203201,-0.42061225,0.1086695,-0.52451605,0.48816314,-0.06503159,0.24970844,0.38912672,0.14856777,-0.18065217,0.5060931,1.3462666,0.4161172,-0.55075896,-0.22063352,-0.6220284,0.10506722,-0.028212257,-0.23271918,0.956252,0.13000558,-0.4741279,-2.2388196,0.25501257,0.44343293,0.41653982,0.9075806,1.4134607,0.09637767,-0.21177538,-0.6325582,-2.3609555,0
TCGA-BH-A0H9-11,0.7639351,0.22488494,0.8021366,-0.19802862,-0.16531745,0.33388728,-0.8497917,-0.18754047,-0.9342776,-1.729177,0.48936012,-0.41718102,-0.31666383,-0.06135086,0.92221373,0.31251276,0.60898316,1.2497439,1.5155705,0.14324895,0.4474401,1.2623283,-0.5221292,0.81274027,-1.1653111,-0.8477273,1.6610755,0.828251,-0.8672525,-0.43867752,0.26703247,-1.7068917,1
