submitter_id.samples,mrna_vae_1,mrna_vae_2,mrna_vae_3,mrna_vae_4,mrna_vae_5,mrna_vae_6,mrna_vae_7,mrna_vae_8,mrna_vae_9,mrna_vae_10,mrna_vae_11,mrna_vae_12,mrna_vae_13,mrna_vae_14,mrna_vae_15,mrna_vae_16,mrna_vae_17,mrna_vae_18,mrna_vae_19,mrna_vae_20,mrna_vae_21,mrna_vae_22,mrna_vae_23,mrna_vae_24,mrna_vae_25,mrna_vae_26,mrna_vae_27,mrna_vae_28,mrna_vae_29,mrna_vae_30,mrna_vae_31,mrna_vae_32,label_mrna
TCGA-EW-A1OZ-01,0.29869986,0.6289252,-1.5977228,0.24594495,1.4280567,0.60609347,-1.2906629,-0.30653685,0.6480591,-0.7041833,-1.6512836,-0.93649983,0.3075647,-1.706805,-1.0348458,0.16464172,-0.72560763,0.32804948,-1.0924217,0.8057215,0.3928444,1.2416497,0.050705343,-0.7358503,-0.59703624,1.1796377,0.23713297,0.4122369,-1.2981312,1.7451793,0.110015206,0.8034,1
TCGA-A2-A0EY-01,-0.7058225,0.3277163,-2.4189718,-1.0808151,-1.66021,-1.406733,-0.1785308,0.35229725,0.5251522,-1.9313598,-0.5310758,1.2885103,1.7192824,-1.8718549,0.005760777,-1.8450122,0.23127708,1.1711184,-1.2404946,-0.14663379,2.0449476,0.71418023,0.22582667,-0.40615612,0.26749188,-0.6228056,-0.6529301,-0.8467869,1.2886969,1.1010369,-0.52640325,-0.18676776,0
TCGA-A8-A09R-01,0.85281837,-1.0733768,0.8956942,1.8047757,0.4740338,0.46093726,2.0408893,1.1000782,0.90078473,-1.2157075,0.17765285,0.93193525,1.0785712,0.8918795,-0.9982337,-0.7613738,-0.36923066,0.7935359,0.82363915,1.245696,-0.7379963,-0.7206988,-0.3916438,0.23378606,0.5636951,0.7508236,0.56900966,-0.6047209,2.0481696,-0.8518274,2.0639162,-0.7921739,1
TCGA-LL-A440-01,-0.11867731,0.88064486,-0.3902812,-0.998334,0.42906436,1.5082879,0.12818971,1.2639761,0.6861885,-0.22069465,1.3403097,1.0924999,1.3630903,-0.6167527,0.22267798,-1.8007014,0.65305734,-0.20682803,-0.33297217,0.22165148,0.846682,0.35000855,0.22914127,-1.1286862,0.34783405,1.6687894,-0.13134879,-0.199717,-0.72465116,1.9323415,-0.4325635,-0.28110635,1
TCGA-BH-A8FY-01,-0.27344716,0.83870417,0.10369444,-0.8114085,1.165729,0.6475286,-0.12546133,-0.07728491,-0.14492893,0.0699888,0.8823118,2.0437593,-1.3579196,0.3783916,0.105047844,-1.3907795,-1.439961,1.0588614,-0.80331075,-0.864983,0.47728342,-0.7283237,-0.40213114,1.3182871,0.6560364,0.5356322,-0.50052977,-0.24020292,1.0878718,0.8340221,1.4552164,-0.51154226,1
TCGA-E2-A1II-01,-0.057216987,-1.3251836,-1.0448809,0.7502042,-1.2699927,2.1181953,0.16759536,-2.0540745,0.54549336,-0.24279812,-1.7929348,0.8656479,0.38548258,-1.0424682,-0.17328729,0.2744408,-0.9488805,0.97532487,1.9842266,-1.4186835,0.4282558,1.4787128,0.65282446,-0.016716212,1.2531666,-0.09524869,-1.120222,-0.0862039,-0.32404643,-1.112785,-0.59037495,-0.5701109,1
TCGA-A7-A6VX-01,1.7234973,1.1507797,-0.86268264,-0.17601064,0.4108441,1.0254396,0.9267589,-0.48232654,1.3863794,0.9138584,0.56165016,-0.002203934,-1.5336233,-0.15495813,-0.5323345,0.9052203,-0.14363605,-0.6158468,0.81618935,0.49296692,0.84658325,-0.77357125,2.0341575,0.615818,-0.33950135,0.6101705,-0.5238876,0.41896242,1.4987968,-0.8455368,-0.35074085,1.0205473,1
TCGA-C8-A273-01,-1.5946641,-0.07491427,0.40967083,0.5961962,-0.0026389032,-0.47305563,-0.3212135,0.2289332,1.60201,-0.22592828,-0.67727935,1.344428,-0.36416534,-0.81734085,0.12811545,-0.88398147,1.0899664,1.5169996,1.2347705,-0.17198834,-0.81545126,0.63688993,-0.58792806,0.20243679,1.3970639,1.313834,-0.49835154,1.5708169,-1.4324632,1.746242,-1.1262918,-1.2757713,1
TCGA-BH-A1EO-01,0.12199541,-0.46991548,0.4043547,-0.025542272,-0.6817884,-0.66190106,-1.0662017,0.355635,-2.700662,-0.31155774,0.5077715,0.15121779,0.40140262,0.5990803,-0.17238423,0.20459126,0.15655527,-1.4300506,-1.182763,1.8416537,-0.37483686,-1.1221447,1.433254,-0.32704613,-0.6819539,0.21292502,-1.5006845,0.6292228,0.8630752,-2.4072378,-1.0670803,-0.23897755,0
TCGA-OL-A5RX-01,1.6565108,-0.101520576,-1.0914568,-0.38615963,0.22485022,-0.99062073,-0.41924793,-0.7990242,-1.692192,-0.7693235,0.34789482,0.38935813,-0.52154195,-1.427276,-1.0886744,0.56543946,1.7626141,-0.33193535,1.9313556,-1.2707372,2.0723774,0.66598207,2.073121,-0.24780588,0.35172802,0.021743188,0.5158811,-0.8828385,-0.71412456,-1.4161247,-0.12450129,0.4632348,1
TCGA-BH-A0B9-01,0.14840233,1.1570926,-0.76738715,1.1864667,-0.77823055,-0.03141368,-0.73199505,-0.66625756,0.20160434,0.70794016,-0.21423377,-1.2293774,0.11461076,-1.3511398,-1.0162448,1.0711595,-0.61987317,0.7230326,-0.3853647,0.29390407,0.39614332,-0.535936,0.5696539,1.0066264,-0.21285775,0.06326653,-0.7931096,0.38979545,1.326483,1.3454722,1.288125,-0.7588163,1
TCGA-EW-A1P5-01,2.3264744,-0.9723774,-0.12855004,0.67165995,0.20764022,0.58455604,1.0870835,0.5860224,0.16882399,-0.009970551,-1.4599055,1.8288959,0.7559481,-0.013060205,0.44910058,-0.78193176,-1.6016852,-0.41008905,-1.7960415,0.052130282,0.8172914,-0.32148746,-0.65328735,-0.8146714,-0.33568594,1.4047339,-0.8119164,1.2031217,-0.33783427,1.3206275,1.3461206,0.26907632,1
TCGA-AO-A03P-01,-1.5015314,1.1879828,0.055279575,-1.4195032,-2.1476464,1.1366385,-0.5562508,-1.2511077,-0.1739517,-1.4051335,0.11454126,-0.11979481,-1.5232463,-1.3695356,1.388078,1.670158,0.6186807,-1.0504524,-0.103450075,0.2560789,1.3087467,-0.101460285,0.82151806,-0.14484845,-0.7500303,0.87820965,0.17960495,2.3969612,-0.25262618,-1.1716552,0.30820853,-1.9084142,0
TCGA-AN-A0AS-01,-0.9842191,-0.18053198,1.1315578,2.0506725,-1.29523,1.8819749,1.3398432,1.298523,-0.25054833,0.6964591,-1.6389797,0.17051645,-0.2562555,-1.5050147,0.15540351,0.63356024,0.19026354,-0.6446203,-0.81110454,-0.01058696,-0.22499743,0.9871974,1.7776757,0.2567311,-3.674797,-0.9769879,-0.4532022,-0.030199258,1.1457945,-1.462067,-0.34613273,-0.15951638,1
TCGA-A2-A1G0-01,-0.6638334,1.0666797,1.9160453,-0.6487801,-0.5377618,-2.529363,-0.97692025,-0.7225497,-0.50207037,0.22101928,-0.53059995,0.039702054,1.3981037,0.02664475,-1.6836553,-0.12806584,-0.5407671,-1.4692234,0.95581317,0.8978548,-0.030547576,-0.81925696,0.680565,-0.6883826,0.04111312,0.9037051,0.053880997,1.3610783,-0.8182133,1.3076774,-0.38125587,0.45132396,1
TCGA-B6-A0I8-01,0.9413439,-0.081221014,0.16012487,1.2412785,-3.2976158,0.5967672,-1.2239987,-0.28203914,0.38682938,-1.4724697,1.3846965,0.6975928,-1.2772554,-1.5057491,-0.36463726,0.7602193,0.13196911,1.0202342,-1.0398726,-0.27571905,-0.035968825,-0.4966064,0.69872415,0.36877447,-0.21555531,0.33631867,0.33752644,0.6777566,0.5506908,0.43904388,1.8291905,-2.7259417,1
TCGA-A7-A4SA-01,-0.028915957,0.24398905,1.9252124,0.0117104575,0.22898228,-1.0611186,1.9960567,-1.0213139,0.9156653,1.0443134,-0.09270219,-0.71451247,-0.8410871,0.64686114,-0.7705953,0.85324556,-1.3499748,0.24385393,-1.0059232,-0.00081532577,-0.4379427,1.0910355,-1.5829239,-0.08298266,0.9868914,-1.8518223,-0.77348965,0.7211181,-0.7210177,0.28224596,0.25748733,0.19757622,1
TCGA-E9-A1RC-11,-0.03776331,-1.4319344,-0.9645839,-0.06486214,-0.9103567,-1.3088201,-0.80993986,-1.7620132,0.029961918,1.88722,-0.8224779,2.1151266,0.38350233,-0.081186004,-0.58152854,-1.1558013,-0.8308435,-0.7809838,-0.64752185,1.4131923,-1.4533178,0.59292185,1.069277,-1.3120213,-1.28262,-0.23332378,-0.18647784,0.44987383,-0.9669094,-0.2858698,-0.74755746,2.0758336,1
TCGA-A7-A0DB-11,-1.5905774,-0.64296436,-0.044754732,0.7399448,-0.78681296,-1.0892315,-0.3319947,1.7470024,0.40145698,-0.30902156,-2.603474,0.9207467,1.9725735,0.94960976,-0.16620886,-0.4636495,-0.6288747,0.086186655,0.10395505,0.86021143,0.8763308,-1.284464,0.45295814,-0.8208768,-0.9432471,-0.08233685,-0.7406955,-2.2857287,-0.879671,-0.89137036,1.0877569,1.3168098,1
TCGA-AR-A24S-01,-1.0031395,0.9243209,-0.21125662,-0.31209183,2.2135584,0.27073747,-1.4670728,-0.35675123,-0.8023909,0.5285022,2.1667335,1.3806372,-0.63392454,0.41783515,-0.14516331,0.01177182,-0.38606045,-0.20633346,0.70306575,0.068368234,-0.28135273,0.1764823,0.9892754,1.190279,-1.4591352,0.35072306,-0.45885348,1.0893555,-1.2272753,-0.24418999,0.78955334,-0.6832401,0
TCGA-BH-A0H9-11,0.1398797,1.4201088,-0.2010965,-0.77295196,0.99319077,-0.82727474,1.2499357,0.5456391,0.51768154,-1.758027,0.58037525,-0.19734885,1.2330337,-0.94495434,-0.17365973,-1.7259885,0.45993167,-0.22292662,0.12404269,-0.09223073,-0.67789316,1.2056558,1.0515147,-0.25181133,1.4218588,1.9820062,-0.73289824,-0.25665957,0.47375005,-0.4950498,-0.36251312,-0.356434,1
TCGA-LD-A74U-01,-1.2044675,-3.2105377,-1.6232083,-0.3120909,0.02724264,-1.0315342,-0.68024725,-0.7258298,-1.0540972,0.03244089,-0.4689267,0.46179163,-0.35887295,1.1932048,0.028882546,-1.9967629,0.16997907,0.4598182,0.51557225,0.3247598,1.6222533,1.9408818,-1.2398474,-1.8201256,0.55632937,-1.3211077,-0.45334402,-0.102362245,0.4695876,-1.0947833,0.6463604,0.32154542,1
TCGA-D8-A1XA-01,-0.4901466,0.1576868,-0.16143155,0.050779626,-1.1732825,-0.20106484,-0.009594101,0.59993285,-2.0942233,1.3065737,-0.44248092,0.7404877,0.37512353,1.0289004,1.3050228,-0.19393343,0.49777687,-0.7472615,-1.3746461,-0.11927793,-1.5992454,1.3409433,0.24749409,0.71533537,0.804783,-0.6129026,-0.36218593,-1.4183897,-0.19845557,3.565696,0.7429913,0.7270841,1
TCGA-D8-A1XR-01,-2.337576,-2.056382,1.4552169,0.89988154,1.9602164,-0.34159905,0.35561806,-0.109301284,0.44312146,0.9453381,-0.3138034,-1.8679355,-2.2166672,1.3303231,0.53391224,1.5964186,-1.7631859,-0.90017337,0.12786062,1.0387628,1.4953654,-0.30535588,1.0677952,-0.48175558,-0.43332875,-1.3825904,-1.0064447,1.6394188,1.016554,-0.66410005,1.4827251,-0.7908005,1
