submitter_id.samples,cnv_vae_1,cnv_vae_2,cnv_vae_3,cnv_vae_4,cnv_vae_5,cnv_vae_6,cnv_vae_7,cnv_vae_8,cnv_vae_9,cnv_vae_10,cnv_vae_11,cnv_vae_12,cnv_vae_13,cnv_vae_14,cnv_vae_15,cnv_vae_16,cnv_vae_17,cnv_vae_18,cnv_vae_19,cnv_vae_20,cnv_vae_21,cnv_vae_22,cnv_vae_23,cnv_vae_24,cnv_vae_25,cnv_vae_26,cnv_vae_27,cnv_vae_28,cnv_vae_29,cnv_vae_30,cnv_vae_31,cnv_vae_32,label
TCGA-A1-A0SP-01,-0.010086432,-0.029131887,-0.019358758,0.07205432,0.0017512627,0.060057357,0.0019250317,-0.19242322,0.058509592,-0.09459517,-0.097697645,-0.024827983,0.01666272,-0.03046802,0.012979081,1.0544245,-0.021281265,0.116753526,-0.003927497,0.002658315,-0.055701386,0.0052312203,0.020341003,-0.039984107,-0.067993455,0.08948972,-0.10954261,0.037130054,-0.10138727,0.039788,0.020825265,0.10014002,1
TCGA-A1-A0SQ-01,-0.03135802,0.047679275,-0.04860166,-0.023364045,-0.02871279,-0.035016254,0.0005720956,0.0152539965,-0.0013622902,0.03849589,0.0051936135,-0.0059604053,0.014275689,-0.0022395598,-0.024875531,0.7253715,0.011738807,-0.06831174,-0.002487732,-0.043227725,-0.033620875,0.008899365,-0.01809377,-0.026740698,-0.024526559,0.022933386,0.007246714,-0.02583094,9.0524554e-05,-0.013951667,0.0017601904,-0.008088751,1
TCGA-A2-A04N-01,-0.00045730174,0.043092206,0.06824574,-0.0465618,-0.0045112185,-0.01979728,-0.08599465,0.12925532,-0.011942174,-0.028608719,0.086981945,0.030037269,-0.006081138,0.018241491,0.037002552,0.6190579,-0.0050314963,-0.18545139,0.014729572,0.057563372,-0.069840774,-0.0015788786,-0.005549645,0.04939598,0.11521027,-0.10401166,0.022468414,-0.070209116,0.14771478,-0.049656637,0.0038484987,0.027216958,0
TCGA-A2-A04P-01,-0.091555014,0.016493978,-0.029535953,0.01666572,0.13713129,0.052581497,0.050609734,0.029892823,0.029536668,-0.08398188,-0.040464327,-0.030871995,-0.007229712,-0.06623567,0.031192532,0.6854803,-0.01816547,0.039051495,-0.0058638137,0.0022050217,0.07644342,0.048654202,-0.06993791,-0.028793154,-0.0388562,0.12435525,-0.047187235,0.0348881,0.010547641,0.04689782,-0.1066946,0.03776546,1
TCGA-A2-A04Q-01,-0.045304924,0.02581695,-0.050382707,-0.0034420565,0.014839966,0.03786947,0.029910814,-0.053447064,-0.0046641193,-0.032606997,-0.055129565,0.0020804252,-0.005616244,-0.01290599,0.010985902,0.71887463,0.004283279,-0.017545693,0.032059237,-0.063760094,0.023645032,-0.035442647,-0.032359604,-0.057194263,-0.08226418,0.05374553,0.0016047768,-0.010185238,-0.040620193,0.022732787,0.004385179,0.02717756,0
TCGA-A2-A04R-01,-0.01051873,-0.039392114,-0.0037325649,0.011272572,-0.012339216,0.08605985,0.10911668,-0.15216921,-0.024479475,-0.0010633562,-0.1149699,-0.0028990214,0.035944942,-0.0276648,-0.039961766,-0.8838488,-0.012000591,0.16990283,-0.047574937,-0.09906881,0.0010254867,-0.026929881,0.0017221516,-0.0012164097,-0.1308192,0.07666225,-0.023694742,0.04248598,-0.24060597,0.061463766,0.0040082093,0.045262262,0
TCGA-A2-A04T-01,-0.030948326,-0.020109294,0.012209353,-0.01673735,0.008224983,-0.019047856,-0.02614059,0.06814371,0.0263117,-0.010533014,0.07120105,0.021218613,-0.041495886,0.058059927,0.010483673,0.6910986,-0.01686082,-0.050122403,0.034499764,0.023555703,0.008973647,0.018933121,-0.021676635,0.004089536,0.061710544,-0.023701318,0.047566634,-0.013515044,0.15105146,-0.020247765,-0.08247014,-0.009598834,0
TCGA-A2-A04U-01,0.002656266,0.01575494,-0.079202026,0.015248649,0.004292328,-0.10694754,0.092164285,-0.16787612,0.023509089,0.073859595,-0.16033673,0.007925436,0.13859239,-0.06551141,-0.08308173,0.6661551,0.10133538,0.052349634,-0.08142236,-0.10846513,-0.011329841,0.039362524,0.08328768,-0.07173133,-0.10566773,0.15813187,-0.03885111,0.018585991,-0.15659295,-0.00075335056,0.031827815,-0.024522541,0
TCGA-A2-A04V-01,0.01143913,-0.051998757,0.10258955,-0.019377626,-0.05648003,0.008180216,-0.14497466,0.19716188,0.013705257,-0.011949608,0.07237839,0.050008297,-0.0058632754,-0.032526914,-0.03792734,0.6195967,0.00042036176,-0.17581257,0.038649283,0.07768185,-0.031461786,0.034944672,0.03794354,0.050165713,0.08114167,-0.12891516,0.010653298,-0.044064004,0.18936257,-0.05386723,-0.017371709,-0.025487078,0
TCGA-A2-A04W-01,0.08233003,-0.008797167,0.024812993,-0.057099737,-0.008931857,-0.042375445,-0.036536384,0.05952652,-0.03243279,0.101002686,0.02723407,0.008175243,0.06388725,0.034380313,0.07747441,0.22774346,-0.10185698,-0.04562884,0.055910043,-0.06796699,-0.06398626,-0.03082132,0.007833058,-0.027228413,0.058620192,-0.09141738,-0.014793944,-0.0166833,0.050609127,-0.004006751,-0.042551212,-0.073188886,0
TCGA-A2-A04X-01,0.07808602,-0.016949771,0.015524504,-0.023765244,-0.0058368854,-0.059710696,0.045817923,0.040994007,-0.044714894,0.0031498875,0.0031247959,-0.031787537,-0.01885664,0.018806841,0.06267487,-1.3605305,-0.0076764077,0.016593464,0.0010481495,-0.00828021,0.024164427,-0.0021107309,-0.0162554,0.047743917,0.02679164,-0.029623874,0.022932764,-0.023489568,-0.09212263,0.0057945177,0.088392265,-0.04061462,1
TCGA-A2-A04Y-01,-0.06290023,0.060598373,-0.038317803,-0.022861876,0.0058392473,-0.00070533156,0.08813096,-0.2437665,0.015975628,-0.06739954,-0.163304,-0.006114878,0.12351602,0.04321244,0.036912728,-0.31443644,-0.0008125007,0.19193485,-0.06903148,-0.039481573,-0.058267664,-0.07499847,0.053459402,-0.104872584,-0.20190817,0.23739335,-0.05687395,0.09542526,-0.30595046,0.028745346,0.051392905,0.013757216,1
TCGA-A2-A0CK-01,0.0124567,-0.0223454,-0.012293282,-0.009433784,-0.046493154,-5.7905912e-05,0.00074941944,-0.0028382489,0.019391347,-0.021024177,-0.016688175,0.076506644,0.0878043,0.064264975,-0.048219185,0.6979029,-0.021970302,-0.031476043,0.048765197,0.003997214,-0.021752287,-0.048255023,0.04663151,-0.04442075,-0.014815595,0.01930023,-0.06497453,-0.03693622,-0.0013033599,-0.065511055,-0.029321576,0.03911689,0
